Message/DistributionOrder/DistributionOrderId,Message/DistributionOrder/LineItem/IsHazmat
DOCD00140,TRUE
DOCD00141,FALSE
DOCD00142,TRUE
DOCD00143,FALSE
DOCD00144,TRUE
DOCD00145,FALSE
DOCD00146,TRUE
DOCD00147,FALSE
DOCD00148,TRUE
DOCD00149,FALSE
DOCD00150,TRUE
DOCD00151,FALSE
DOCD00152,TRUE
DOCD00153,FALSE
DOCD00154,TRUE
DOCD00155,FALSE
DOCD00156,FALSE
DOCD00157,FALSE
DOCD00158,TRUE
DOCD00159,FALSE
DOCD00160,TRUE
DOCD00161,TRUE
DOCD00162,FALSE
DOCD00163,TRUE
DOCD00164,FALSE
DOCD00165,TRUE
DOCD00166,FALSE
DOCD00167,TRUE
DOCD00168,FALSE
DOCD00169,TRUE
DOCD00170,FALSE
DOCD00171,TRUE
DOCD00172,FALSE
DOCD00173,TRUE
DOCD00174,FALSE
DOCD00175,TRUE
DOCD00176,FALSE
DOCD00177,FALSE
DOCD00178,FALSE
DOCD00179,TRUE
DOCD00180,FALSE
DOCD00181,TRUE
DOCD00182,TRUE
DOCD00183,FALSE
DOCD00184,TRUE
DOCD00185,FALSE
DOCD00186,TRUE
DOCD00187,FALSE
DOCD00188,TRUE
DOCD00189,FALSE
DOCD00190,TRUE
DOCD00191,FALSE
DOCD00192,TRUE
DOCD00193,FALSE
DOCD00194,TRUE
DOCD00195,FALSE
DOCD00196,TRUE
DOCD00197,FALSE
DOCD00198,FALSE
DOCD00199,FALSE
DOCD00200,TRUE
DOCD00201,FALSE
DOCD00202,TRUE
DOCD00203,TRUE
DOCD00204,FALSE
DOCD00205,TRUE
DOCD00206,FALSE
DOCD00207,TRUE
DOCD00208,FALSE
DOCD00209,TRUE
DOCD00210,FALSE
DOCD00211,TRUE
DOCD00212,FALSE
DOCD00213,TRUE
DOCD00214,FALSE
DOCD00215,TRUE
DOCD00216,FALSE
DOCD00217,TRUE
DOCD00218,FALSE
DOCD00219,FALSE
DOCD00220,FALSE
DOCD00221,TRUE
DOCD00222,FALSE
DOCD00223,TRUE
DOCD00224,TRUE
DOCD00225,FALSE
DOCD00226,TRUE
DOCD00227,FALSE
DOCD00228,TRUE
DOCD00229,FALSE
DOCD00230,TRUE
DOCD00231,FALSE
DOCD00232,TRUE
DOCD00233,FALSE
DOCD00234,TRUE
DOCD00235,FALSE
DOCD00236,TRUE
DOCD00237,FALSE
DOCD00238,TRUE
DOCD00239,FALSE
DOCD00240,FALSE
DOCD00241,FALSE
DOCD00242,TRUE
DOCD00243,FALSE
DOCD00244,TRUE
DOCD00245,TRUE
DOCD00246,FALSE
DOCD00247,TRUE
DOCD00248,FALSE
DOCD00249,TRUE
DOCD00250,FALSE
DOCD00251,TRUE
DOCD00252,FALSE
DOCD00253,TRUE
DOCD00254,FALSE
DOCD00255,TRUE
DOCD00256,FALSE
DOCD00257,TRUE
DOCD00258,FALSE
DOCD00259,TRUE
DOCD00260,FALSE
DOCD00261,FALSE
DOCD00262,FALSE
DOCD00263,TRUE
DOCD00264,FALSE
DOCD00265,TRUE
DOCD00266,TRUE
DOCD00267,FALSE
DOCD00268,TRUE
DOCD00269,FALSE
DOCD00270,TRUE
DOCD00271,FALSE
DOCD00272,TRUE
DOCD00273,FALSE
DOCD00274,TRUE
DOCD00275,FALSE
DOCD00276,TRUE
DOCD00277,FALSE
DOCD00278,TRUE
DOCD00279,FALSE
DOCD00280,TRUE
DOCD00281,FALSE
DOCD00282,FALSE
DOCD00283,FALSE
DOCD00284,TRUE
DOCD00285,FALSE
DOCD00286,TRUE
DOCD00287,TRUE
DOCD00288,FALSE
DOCD00289,TRUE
DOCD00290,FALSE
DOCD00291,TRUE
DOCD00292,FALSE
DOCD00293,TRUE
DOCD00294,FALSE
DOCD00295,TRUE
DOCD00296,FALSE
DOCD00297,TRUE
DOCD00298,FALSE
DOCD00299,TRUE
DOCD00300,FALSE
DOCD00301,TRUE
DOCD00302,FALSE
DOCD00303,FALSE
DOCD00304,FALSE
DOCD00305,TRUE
DOCD00306,FALSE
DOCD00307,TRUE
DOCD00308,TRUE
DOCD00309,FALSE
DOCD00310,TRUE
DOCD00311,FALSE
DOCD00312,TRUE
DOCD00313,FALSE
DOCD00314,TRUE
DOCD00315,FALSE
DOCD00316,TRUE
DOCD00317,FALSE
DOCD00318,TRUE
DOCD00319,FALSE
DOCD00320,TRUE
DOCD00321,FALSE
DOCD00322,TRUE
DOCD00323,FALSE
DOCD00324,FALSE
DOCD00325,FALSE
DOCD00326,TRUE
DOCD00327,FALSE
DOCD00328,TRUE
DOCD00329,TRUE
DOCD00330,FALSE
DOCD00331,TRUE
DOCD00332,FALSE
DOCD00333,TRUE
DOCD00334,FALSE
